num_annotation	genre_id	genre	pt_word	recapitalized_sent	pt_sentence_bold	num_annotators	min_annotation_time	max_annotation_time	avg_annotation_time	num_candidate_substitutions	num_unqiue_candidate_substituions
205	28301031	biomed	Mudanças	"apreendeu-se uma grande categoria temática (family), denominada ""Mudanças Gerenciais Advindas da Acreditação: perspectivas de gestores e trabalhadores"" e cinco subcategorias (codes), relacionadas às mudanças gerenciais no âmbito operacional; estrutural; financeiro e de custo; na alta gestão hospitalar; e na gestão da qualidade."	"apreendeu-se uma grande categoria temática (family), denominada <strong>""Mudanças</strong> Gerenciais Advindas da Acreditação: perspectivas de gestores e trabalhadores"" e cinco subcategorias (codes), relacionadas às mudanças gerenciais no âmbito operacional; estrutural; financeiro e de custo; na alta gestão hospitalar; e na gestão da qualidade."	21	3	3256	74.5	3	2
11	5-231	news	produtos	"Por isso, os países sócios adotam uma política única de taxação de produtos importados, a chamada Tarifa Externa Comum (TEC)"	"Por isso, os países sócios adotam uma política única de taxação de <strong>produtos</strong> importados, a chamada Tarifa Externa Comum (TEC)"	21	3	3256	71.95	6	3
206	162-158	news	moratória	"O pesquisador Paulo Barreto, do Imazon, acrescentou mais cinco medidas contra o desmatamento: cobrar o imposto rural, expandir a moratória da soja ao cerrado, fechar o mercado para a carne ilegal, dar crédito só para quem cumpre a lei e inovar nas táticas de combate"	"O pesquisador Paulo Barreto, do Imazon, acrescentou mais cinco medidas contra o desmatamento: cobrar o imposto rural, expandir a <strong>moratória</strong> da soja ao cerrado, fechar o mercado para a carne ilegal, dar crédito só para quem cumpre a lei e inovar nas táticas de combate"	21	3	3256	71.03	6	5
12	24388253	biomed	linfócitos	"Sendo os monócitos/macrófagos e os linfócitos células fundamentais no desencadear e posterior evolução desta doença vascular, procurámos determinar as percentagens das diversas populações celulares periféricas em indivíduos dislipidémicos e em normolipidémicos."	"Sendo os monócitos/macrófagos e os <strong>linfócitos</strong> células fundamentais no desencadear e posterior evolução desta doença vascular, procurámos determinar as percentagens das diversas populações celulares periféricas em indivíduos dislipidémicos e em normolipidémicos."	21	3	3256	69.96	4	4
207	6364-28	news	europeus	"Oito anos depois da crise financeira, a baixa rentabilidade fez com que as ações dos bancos europeus fossem negociadas a frações do seu valor contábil"	"Oito anos depois da crise financeira, a baixa rentabilidade fez com que as ações dos bancos <strong>europeus</strong> fossem negociadas a frações do seu valor contábil"	21	3	3256	73.41	3	2
13	2142	bible	vale	"E edificaram os altos de Baal, que estão no Vale do Filho de Hinom, para fazerem passar seus filhos e suas filhas pelo fogo a Moloque; o que nunca lhes ordenei, nem veio ao meu coração, que fizessem tal abominação, para fazerem pecar a Judá."	"E edificaram os altos de Baal, que estão no <strong>Vale</strong> do Filho de Hinom, para fazerem passar seus filhos e suas filhas pelo fogo a Moloque; o que nunca lhes ordenei, nem veio ao meu coração, que fizessem tal abominação, para fazerem pecar a Judá."	21	3	3256	73.03	2	2
14	25741100	biomed	WT	# MJ Maciel; CJ Tyng; PN Barbosa; AG Bitencourt; JP Matushita Junior; CE Zurstrassen; WT Chung; R Chojniak	# MJ Maciel; CJ Tyng; PN Barbosa; AG Bitencourt; JP Matushita Junior; CE Zurstrassen; <strong>WT</strong> Chung; R Chojniak	21	3	3256	71.04	4	4
208	313	bible	sodomitas	"Também derrubou as casas dos sodomitas que estavam na casa do SENHOR, em que as mulheres teciam casinhas para o ídolo do bosque."	"Também derrubou as casas dos <strong>sodomitas</strong> que estavam na casa do SENHOR, em que as mulheres teciam casinhas para o ídolo do bosque."	21	3	3256	68.84	4	4
15	1498-3	news	democracia	"Vários líderes da guerrilha o rodeavam, vestindo camisetas com o novo slogan das Farc: reconciliação nacional, paz com justiça social e democracia avançada"	"Vários líderes da guerrilha o rodeavam, vestindo camisetas com o novo slogan das Farc: reconciliação nacional, paz com justiça social e <strong>democracia</strong> avançada"	21	3	3256	67.2	5	5
209	1244	bible	Sodoma	"E jazerão os seus corpos mortos na praça da grande cidade que espiritualmente se chama Sodoma e Egito, onde o seu Senhor também foi crucificado."	"E jazerão os seus corpos mortos na praça da grande cidade que espiritualmente se chama <strong>Sodoma</strong> e Egito, onde o seu Senhor também foi crucificado."	21	3	3256	70.18	3	2
16	1175	bible	Eliseu	"Então os filhos dos profetas que estavam em Betel saíram ao encontro de Eliseu, e lhe disseram: Sabes que o SENHOR hoje tomará o teu senhor por sobre a tua cabeça? E ele disse: Também eu bem o sei; calai-vos."	"Então os filhos dos profetas que estavam em Betel saíram ao encontro de <strong>Eliseu,</strong> e lhe disseram: Sabes que o SENHOR hoje tomará o teu senhor por sobre a tua cabeça? E ele disse: Também eu bem o sei; calai-vos."	21	3	3256	68.12	3	3
210	23809748	biomed	vírus	"Assim, são necessários mais estudos para esclarecer se a infecção por Citomegalovírus é uma infecção oportunista ou se contribui para a imunossupressão favorecendo a carcinogénese associada ao HPV."	"Assim, são necessários mais estudos para esclarecer se a infecção por Citomegalovírus é uma infecção oportunista ou se contribui para a imunossupressão favorecendo a carcinogénese associada ao HPV."	21	3	3256	68.75	3	3
17	2444	bible	graça	"Detiveram-se, pois, muito tempo, falando ousadamente acerca do Senhor, o qual dava testemunho à palavra da sua graça, permitindo que por suas mãos se fizessem sinais e prodígios."	"Detiveram-se, pois, muito tempo, falando ousadamente acerca do Senhor, o qual dava testemunho à palavra da sua <strong>graça,</strong> permitindo que por suas mãos se fizessem sinais e prodígios."	21	3	3256	67.4	4	3
18	2075	bible	convite	"Mas, quando fizeres convite, chama os pobres, aleijados, mancos e cegos,"	"Mas, quando fizeres <strong>convite,</strong> chama os pobres, aleijados, mancos e cegos,"	21	3	3256	65.65	4	4
19	2524	bible	contemplou	"Não viu iniqüidade em Israel, nem contemplou maldade em Jacó; o SENHOR seu Deus é com ele, e no meio dele se ouve a aclamação de um rei."	"Não viu iniqüidade em Israel, nem <strong>contemplou</strong> maldade em Jacó; o SENHOR seu Deus é com ele, e no meio dele se ouve a aclamação de um rei."	21	3	3256	65.61	4	2
20	8680-40	news	subsistência	Buzzi entendeu que a condenação poderia comprometer a própria estrutura de subsistência familiar	Buzzi entendeu que a condenação poderia comprometer a própria estrutura de <strong>subsistência</strong> familiar	21	3	3256	64.31	7	6
21	30317717	biomed	ativador	"Como terapêutica de life-saving, optou-se por realizar fibrinólise com fator ativador do plasminogénio tecidual, através do dreno torácico, o que ocorreu com sucesso e sem complicações."	"Como terapêutica de life-saving, optou-se por realizar fibrinólise com fator <strong>ativador</strong> do plasminogénio tecidual, através do dreno torácico, o que ocorreu com sucesso e sem complicações."	21	3	3256	67.11	6	5
211	29213950	biomed	retículo	"Resistência à insulina/fator de crescimento similar à insulina (IGF) pode contribuir para a neurodegeneração através de vários mecanismos os quais envolvem: déficit metabólico e energético, prejuízo na função do transportador de glicose-4, estresse oxidativo e do retículo endoplasmático, disfunção mitocondrial, acúmulo de AGEs, ROS e RNS com aumento na produção da neuro-inflamação e ativação da cascata pró-apoptóptica."	"Resistência à insulina/fator de crescimento similar à insulina (IGF) pode contribuir para a neurodegeneração através de vários mecanismos os quais envolvem: déficit metabólico e energético, prejuízo na função do transportador de glicose-4, estresse oxidativo e do <strong>retículo</strong> endoplasmático, disfunção mitocondrial, acúmulo de AGEs, ROS e RNS com aumento na produção da neuro-inflamação e ativação da cascata pró-apoptóptica."	21	3	3256	65.91	4	4
22	15-91	news	ano	"De maneira simbólica, os peregrinos devem atirar sete pedras em uma pilastra neste ritual, que no ano passado terminou em tragédia, levando à morte 2"	"De maneira simbólica, os peregrinos devem atirar sete pedras em uma pilastra neste ritual, que no <strong>ano</strong> passado terminou em tragédia, levando à morte 2"	21	3	3256	64.85	3	3
23	1231	bible	Isaías	"E Isaías ousadamente diz: Fui achado pelos que não me buscavam, Fui manifestado aos que por mim não perguntavam."	"E <strong>Isaías</strong> ousadamente diz: Fui achado pelos que não me buscavam, Fui manifestado aos que por mim não perguntavam."	21	3	3256	64.45	3	2
212	1650	bible	misericórdias	"Todavia tu, pela multidão das tuas misericórdias, não os deixaste no deserto. A coluna de nuvem nunca se apartou deles de dia, para os guiar pelo caminho, nem a coluna de fogo de noite, para lhes iluminar; e isto pelo caminho por onde haviam de ir."	"Todavia tu, pela multidão das tuas <strong>misericórdias,</strong> não os deixaste no deserto. A coluna de nuvem nunca se apartou deles de dia, para os guiar pelo caminho, nem a coluna de fogo de noite, para lhes iluminar; e isto pelo caminho por onde haviam de ir."	21	3	3256	65.15	5	4
213	742	bible	farinha	"E, se a tua oferta for oferta de alimentos cozida na caçoula, será da flor de farinha sem fermento, amassada com azeite."	"E, se a tua oferta for oferta de alimentos cozida na caçoula, será da flor de <strong>farinha</strong> sem fermento, amassada com azeite."	21	3	3256	64	3	3
24	24016654	biomed	bases	"Usando a mesma estratégia do grupo da EAPC, efetuamos uma pesquisa sistemática da literatura nas bases de dados eletrónicas PubMed e Scopus incluindo estudos originais em adultos com cancro avançado, sem tratamento dirigido à neoplasia, com sobrevivência mediana inferior a 90 dias."	"Usando a mesma estratégia do grupo da EAPC, efetuamos uma pesquisa sistemática da literatura nas <strong>bases</strong> de dados eletrónicas PubMed e Scopus incluindo estudos originais em adultos com cancro avançado, sem tratamento dirigido à neoplasia, com sobrevivência mediana inferior a 90 dias."	21	3	3256	62.88	6	6
214	2509	bible	rudimentos	"Porque, devendo já ser mestres pelo tempo, ainda necessitais de que se vos torne a ensinar quais sejam os primeiros rudimentos das palavras de Deus; e vos haveis feito tais que necessitais de leite, e não de sólido mantimento."	"Porque, devendo já ser mestres pelo tempo, ainda necessitais de que se vos torne a ensinar quais sejam os primeiros <strong>rudimentos</strong> das palavras de Deus; e vos haveis feito tais que necessitais de leite, e não de sólido mantimento."	21	3	3256	63.73	9	6
25	2945	bible	novilho	"Depois tomarás do sangue do novilho, e o porás com o teu dedo sobre as pontas do altar, e todo o sangue restante derramarás à base do altar."	"Depois tomarás do sangue do <strong>novilho,</strong> e o porás com o teu dedo sobre as pontas do altar, e todo o sangue restante derramarás à base do altar."	21	3	3256	62.86	6	3
26	983-267	news	escritório	"O arquiteto da empresa que segue trabalhando no escritório disse que a empresa teria planejado terminar o serviço de retirada da estrutura que desabou em 15 dias, mas o serviço foi concluído em apenas 4 dias e que em breve as obras seriam retomadas"	"O arquiteto da empresa que segue trabalhando no <strong>escritório</strong> disse que a empresa teria planejado terminar o serviço de retirada da estrutura que desabou em 15 dias, mas o serviço foi concluído em apenas 4 dias e que em breve as obras seriam retomadas"	21	3	3256	61.76	4	4
215	1221-132	news	petição	"Após o juiz federal da 1ª Vara Ciro José de Andrade Arapiraca determinar que o governo estadual o Ministério Público Federal se manifestassem sobre a viabilidade de concretização ou não de um acordo com o Consórcio VLT, a Procuradoria Geral do Estado (PGE), por meio de uma petição assinada nessa segunda (12), anuncia que o Executivo estadual desistiu de tentar negociação"	"Após o juiz federal da 1ª Vara Ciro José de Andrade Arapiraca determinar que o governo estadual o Ministério Público Federal se manifestassem sobre a viabilidade de concretização ou não de um acordo com o Consórcio VLT, a Procuradoria Geral do Estado (PGE), por meio de uma <strong>petição</strong> assinada nessa segunda (12), anuncia que o Executivo estadual desistiu de tentar negociação"	21	3	3256	61.92	4	2
27	2875	bible	cabelo	"Nem jurarás pela tua cabeça, porque não podes tornar um cabelo branco ou preto."	"Nem jurarás pela tua cabeça, porque não podes tornar um <strong>cabelo</strong> branco ou preto."	21	3	3256	61.06	5	3
216	746	bible	coruja	"Ali se aninhará a coruja e porá os seus ovos, e tirará os seus filhotes, e os recolherá debaixo da sua sombra; também ali os abutres se ajuntarão uns com os outros."	"Ali se aninhará a <strong>coruja</strong> e porá os seus ovos, e tirará os seus filhotes, e os recolherá debaixo da sua sombra; também ali os abutres se ajuntarão uns com os outros."	21	3	3256	61.04	2	2
28	11944-211	news	globalização	"O presidente, cujo país é conhecido pelas extensivas leis trabalhistas, continuou: Nosso país recusa uma globalização sem regras, aonde modelos sociais são colocados uns contra os outros, aonde as desigualdades crescem, e os direitos de propriedade intelectual e a diversidade cultural são ameaçadas"	"O presidente, cujo país é conhecido pelas extensivas leis trabalhistas, continuou: Nosso país recusa uma <strong>globalização</strong> sem regras, aonde modelos sociais são colocados uns contra os outros, aonde as desigualdades crescem, e os direitos de propriedade intelectual e a diversidade cultural são ameaçadas"	21	3	3256	63.11	3	3
217	24388251	biomed	puberdade	"Grupo 1 (com puberdade e menarca espontânea): 20 (25,3%) doentes, 16,1 ± 8,9 anos."	"Grupo 1 (com <strong>puberdade</strong> e menarca espontânea): 20 (25,3%) doentes, 16,1 ± 8,9 anos."	21	3	3256	62.66	5	3
29	26574977	biomed	ataque	"A transmissão da doença ocorreu predominantemente em ambiente escolar, com taxas de ataque < 30%."	"A transmissão da doença ocorreu predominantemente em ambiente escolar, com taxas de <strong>ataque</strong> < 30%."	21	3	3256	62.4	7	6
218	1975	bible	ação	"Não estejais inquietos por coisa alguma; antes as vossas petições sejam em tudo conhecidas diante de Deus pela oração e súplica, com ação de graças."	"Não estejais inquietos por coisa alguma; antes as vossas petições sejam em tudo conhecidas diante de Deus pela oração e súplica, com <strong>ação</strong> de graças."	21	3	3256	61.81	3	3
30	2544	bible	rodas	"Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles."	"Então os querubins elevaram as suas asas, e as <strong>rodas</strong> os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles."	21	3	3256	61.13	4	4
219	501-29	news	margens	Eles foram levados pela enxurrada e parte do gramado das margens também foram levados pelas águas	Eles foram levados pela enxurrada e parte do gramado das <strong>margens</strong> também foram levados pelas águas	21	3	3256	60.23	5	3
31	1551	bible	samaritanos	"Indo, pois, ter com ele os samaritanos, rogaram-lhe que ficasse com eles; e ficou ali dois dias."	"Indo, pois, ter com ele os <strong>samaritanos,</strong> rogaram-lhe que ficasse com eles; e ficou ali dois dias."	21	3	3256	59.58	6	6
220	1525-10	news	pesca	"A secretaria da Pesca cancelou seis mil carteiras e inscrições de pescadores acreanos que moravam em Rio Branco, mas eram cadastrados no interior"	"A secretaria da <strong>Pesca</strong> cancelou seis mil carteiras e inscrições de pescadores acreanos que moravam em Rio Branco, mas eram cadastrados no interior"	21	3	3256	58.85	4	2
32	209	bible	lábios	"Por causa do teu furor contra mim, e porque a tua arrogância subiu até aos meus ouvidos, portanto porei o meu anzol no teu nariz e o meu freio nos teus lábios, e te farei voltar pelo caminho por onde vieste."	"Por causa do teu furor contra mim, e porque a tua arrogância subiu até aos meus ouvidos, portanto porei o meu anzol no teu nariz e o meu freio nos teus <strong>lábios,</strong> e te farei voltar pelo caminho por onde vieste."	21	3	3256	60.4	2	1
221	1182	bible	beneficências	"Inclinai os vossos ouvidos, e vinde a mim; ouvi, e a vossa alma viverá; porque convosco farei uma aliança perpétua, dando-vos as firmes beneficências de Davi."	"Inclinai os vossos ouvidos, e vinde a mim; ouvi, e a vossa alma viverá; porque convosco farei uma aliança perpétua, dando-vos as firmes <strong>beneficências</strong> de Davi."	21	3	3256	61.14	6	4
33	1133-28	news	incertezas	"Tóquio volta a cair de olho em BoJ – Influenciada por incertezas antes da reunião do Banco do Japão da próxima semana, a bolsa de Tóquio recuou pelo segundo pregão consecutivo O Nikkei caiu 1,26%, depois de registrar recuo de 0,69% ontem"	"Tóquio volta a cair de olho em BoJ – Influenciada por <strong>incertezas</strong> antes da reunião do Banco do Japão da próxima semana, a bolsa de Tóquio recuou pelo segundo pregão consecutivo O Nikkei caiu 1,26%, depois de registrar recuo de 0,69% ontem"	21	3	3256	60.37	6	3
34	519	bible	pais	"E até pelos pais, e irmãos, e parentes, e amigos sereis entregues; e matarão alguns de vós."	"E até pelos <strong>pais,</strong> e irmãos, e parentes, e amigos sereis entregues; e matarão alguns de vós."	21	3	3256	59.85	5	4
222	24192099	biomed	peixe	"Conclusão: O peixe-zebra é um excelente organismo modelo na pesquisa biomédica, em screens de medicamentos e na terapia clinica."	"Conclusão: O peixe-zebra é um excelente organismo modelo na pesquisa biomédica, em screens de medicamentos e na terapia clinica."	21	3	3256	59.57	4	2
35	1661	bible	gentios	"Para o que (digo a verdade em Cristo, não minto) fui constituído pregador, e apóstolo, e doutor dos gentios na fé e na verdade."	"Para o que (digo a verdade em Cristo, não minto) fui constituído pregador, e apóstolo, e doutor dos <strong>gentios</strong> na fé e na verdade."	21	3	3256	59.16	7	7
223	986	bible	somos	"Disse mais Moisés: Isso será quando o SENHOR à tarde vos der carne para comer, e pela manhã pão a fartar, porquanto o SENHOR ouviu as vossas murmurações, com que murmurais contra ele. E quem somos nós? As vossas murmurações não são contra nós, mas sim contra o SENHOR."	"Disse mais Moisés: Isso será quando o SENHOR à tarde vos der carne para comer, e pela manhã pão a fartar, porquanto o SENHOR ouviu as vossas murmurações, com que murmurais contra ele. E quem <strong>somos</strong> nós? As vossas murmurações não são contra nós, mas sim contra o SENHOR."	21	3	3256	58.84	4	4
36	68-362	news	fragilidade	Ele usou o exemplo de outro peemedebista que é alvo de denúncias para exemplificar a fragilidade dos relatos de colaboradores da Justiça	Ele usou o exemplo de outro peemedebista que é alvo de denúncias para exemplificar a <strong>fragilidade</strong> dos relatos de colaboradores da Justiça	21	3	3256	58.21	4	3
224	24581203	biomed	identidade	"Discussão: Nesta perspetiva, constituem objeto de análise as questões relacionadas com a classificação e estruturação das entidades nosológicas, com especial enfoque nas perturbações da personalidade, perturbações de abuso de substâncias, perturbações sexuais e da identidade de género, perturbações de ansiedade, perturbações dissociativas, perturbações psicóticas e, ainda, perturbações sugeridas por fontes externas."	"Discussão: Nesta perspetiva, constituem objeto de análise as questões relacionadas com a classificação e estruturação das entidades nosológicas, com especial enfoque nas perturbações da personalidade, perturbações de abuso de substâncias, perturbações sexuais e da <strong>identidade</strong> de género, perturbações de ansiedade, perturbações dissociativas, perturbações psicóticas e, ainda, perturbações sugeridas por fontes externas."	21	3	3256	58.06	4	4
37	4978-268	news	ecossistemas	"O pesquisador brasileiro foi indicado pelo comitê científico da fundação e selecionado pelo júri da premiação por seus esforços pioneiros realizados para entender e proteger a Amazônia, um dos ecossistemas mais importantes do mundo"	"O pesquisador brasileiro foi indicado pelo comitê científico da fundação e selecionado pelo júri da premiação por seus esforços pioneiros realizados para entender e proteger a Amazônia, um dos <strong>ecossistemas</strong> mais importantes do mundo"	21	3	3256	59.28	3	3
225	1088-124	news	colegas	Galdino precisou ser controlado por colegas e acabou preso pela Guarda Municipal	Galdino precisou ser controlado por <strong>colegas</strong> e acabou preso pela Guarda Municipal	21	3	3256	58.59	5	3
226	716	bible	nossa	"Porque, como as aflições de Cristo são abundantes em nós, assim também é abundante a nossa consolação por meio de Cristo."	"Porque, como as aflições de Cristo são abundantes em nós, assim também é abundante a <strong>nossa</strong> consolação por meio de Cristo."	21	3	3256	58.3	4	3
38	1212	bible	podridão	"A mulher virtuosa é a coroa do seu marido, mas a que o envergonha é como podridão nos seus ossos."	"A mulher virtuosa é a coroa do seu marido, mas a que o envergonha é como <strong>podridão</strong> nos seus ossos."	21	3	3256	59.53	5	5
39	2874	bible	lábios	"Porquanto Ana no seu coração falava; só se moviam os seus lábios, porém não se ouvia a sua voz; pelo que Eli a teve por embriagada."	"Porquanto Ana no seu coração falava; só se moviam os seus <strong>lábios,</strong> porém não se ouvia a sua voz; pelo que Eli a teve por embriagada."	21	3	3256	59.08	3	2
227	26229867	biomed	coluna	"Na avaliação da classificação das três colunas, a reprodutibilidade interobservador foi de 0,47 (p < 0,0001), classificada como concordância moderada."	"Na avaliação da classificação das três <strong>colunas,</strong> a reprodutibilidade interobservador foi de 0,47 (p < 0,0001), classificada como concordância moderada."	21	3	3256	58.58	6	6
40	13-158	news	extensão	"Criar programas de extensão universitária, para que os estudantes possam realizar estudos e trabalhos sociais, culturais e acadêmicos que sejam de interesse da sociedade"	"Criar programas de <strong>extensão</strong> universitária, para que os estudantes possam realizar estudos e trabalhos sociais, culturais e acadêmicos que sejam de interesse da sociedade"	21	3	3256	58.32	7	7
228	1062	bible	jônatas	"Então lhes dirás: Eu lancei a minha súplica diante do rei, que não me fizesse tornar à casa de Jônatas, para morrer ali."	"Então lhes dirás: Eu lancei a minha súplica diante do rei, que não me fizesse tornar à casa de <strong>Jônatas,</strong> para morrer ali."	21	3	3256	58.39	2	2
41	2744	bible	juízo	"Porque a minha espada se embriagou nos céus; eis que sobre Edom descerá, e sobre o povo do meu anátema para exercer juízo."	"Porque a minha espada se embriagou nos céus; eis que sobre Edom descerá, e sobre o povo do meu anátema para exercer <strong>juízo.</strong>"	21	3	3256	58.12	6	4
229	1448-163	news	surto	"De acordo com a PM, a suspeita teve um surto psicótico"	"De acordo com a PM, a suspeita teve um <strong>surto</strong> psicótico"	21	3	3256	57.61	4	3
42	97-189	news	países	"O problema é que o carro nacional só consegue chegar a países da América Latina, cuja demanda total é inferior ao mercado brasileiro"	"O problema é que o carro nacional só consegue chegar a <strong>países</strong> da América Latina, cuja demanda total é inferior ao mercado brasileiro"	21	3	3256	57.07	5	4
230	23809745	biomed	começar	"Constatou-se que 41% dos inquiridos saíam à noite, e 70% ingeriam bebidas alcoólicas; 66% começaram a sair à noite entre os 13 e os 15 anos de idade e 9% já tinham experimentado drogas pelo menos uma vez."	"Constatou-se que 41% dos inquiridos saíam à noite, e 70% ingeriam bebidas alcoólicas; 66% começaram a sair à noite entre os 13 e os 15 anos de idade e 9% já tinham experimentado drogas pelo menos uma vez."	21	3	3256	58.15	3	2
43	23697357	biomed	terapia	Os esquemas de antibioterapia têm variado ao longo do tempo bem como os critérios usados para a determinação da sua duração ideal.	Os esquemas de antibioterapia têm variado ao longo do tempo bem como os critérios usados para a determinação da sua duração ideal.	21	3	3256	58.04	4	3
